일련번호,시군구,시설명,입소정원,입소현원,종사정원,종사현원,시설주소,전화번호,설치신고일,법인명
1,수원시,수원밀알사랑터,4,3,1,1,"경기도 수원시 장안구 창훈로57-11, 510호(연무동, 목화아파트) ",031-255-3204 031-255-3203,2008.04.24,세석밀알
2,수원시,원천그룹홈,4,3,2,2,경기도 수원시 권선구 동수원로146번길 124 301호,031-217-6569 031-213-4540,2019.10.01,아씨시의프란치스코 전교수녀회
3,수원시,몬띠의 집,4,4,2,2,경기도 수원시 장안구 정자로19번길 18(일성아파트 502동 104호) ,031-307-0985 031-306-0985,2007.01.17,사회복지법인 바다의 별
4,수원시,마르따의 집,4,3,2,2,경기도 수원시 장안구 정자로19번길 18(일성아파트 505동 207호) ,031-307-0985 031-306-0985,2009.09.29,사회복지법인 바다의 별
5,수원시,해밀터,4,4,1,1,"경기도 수원시 장안구 파장천로12번길 43, 301호 ",031-253-3747 031-254-3747,2009.09.30,사)한국장애인 부모회수원지부
6,수원시,브솔그룹홈,4,4,2,1,"경기도 수원시 영통구 월드컵로 76 I AM 센터 8층 경기도 수원시 영통구 산남로29번길 7, 302",070-7759-1088 031-213-1702,2009.11.18,브솔복지재단
7,수원시,니도그룹홈,4,4,2,2,"경기도 수원시 영통구 산남로29번길 7, 302",031-2131-705,2012.08.20,재단법인아씨시의 프란치스코전교 수녀회
8,수원시,바르나바의 집,4,3,2,2,경기도 수원시 장안구 정자로19번길 18(일성아파트 502동 204호) ,031-307-0985 031-306-0985,2013.04.09,사회복지법인 바다의 별
9,수원시,양념정,5,3,2,2,경기도 수원시 권선구 효탑로16번길 98(탑동) ,031-292-1625 031-294-2931,2005.01.10,개인
10,수원시,에벤에셀의집,9,5,3,3,경기도 수원시 권선로580번길 14 ,031-222-2248 031-222-2083,2005.12.23,개인
11,용인시,우리집,4,4,2,1,"경기도 용인시 처인구 포곡읍 둔전로 15, 103동 1203호(계룡리슈빌아파트) ",031-332-0665 031-332-0665,2003.11.14,사회복지법인 천주교인보회
12,용인시,한누리,4,3,3,1,"경기도 용인시 기흥구 금화로105번길 6, 101호 ",031-693-5448 031-323-3342,2006.09.14,사회복지법인 해든솔
13,용인시,두루네공동생활 가정,4,4,3,1,"경기도 용인시 기흥구 금화로105번길 6, 202호 ",031-693-5447 031-323-3342,2006.12.27,사회복지법인 해든솔
14,용인시,마루네,4,4,3,1,"경기도 용인시 기흥구 금화로12번길 19, 201호 ",031-283-5447 031-323-3342,2008.02.20,사회복지법인 해든솔
15,용인시,아라네 공동생활가정,4,4,3,1,"경기도 용인시 기흥구 금화로12번길 19, 301호 ",031-693-8002 031-323-3342,2008.12.30,사회복지법인 해든솔
16,용인시,두드림1,4,3,1,1,"경기도 용인시 기흥구 신갈로89번길 28, 301호 ",031-281-0356 031-281-0357,2006.10.24,한국장애인부모회 용인지부
17,용인시,두드림2,4,3,1,1,"경기도 용인시 기흥구 신갈로89번길, 28 201호 ",031-282-0575 031-282-0576,2006.10.24,한국장애인부모회 용인지부
