일련번호,시군구,시설명,입소정원,입소현원,종사정원,종사현원,시설주소,전화번호,설치신고일,법인명
1.0,고양시,우림누리 ,10.0,10.0,7.0,7.0,경기도 고양시 일산동구 성현로93번길 25-19 ,031-919-3485 031-924-5784,2002.05.01,우림복지재단 
2.0,고양시,나너우리센터 ,10.0,10.0,5.0,2.0, 경기도 고양시 일산동구 문원길170번길 103-33,031-969-4183 031-968-4180,2007.02.23, 경기도지적발달 장애인복지협회 고양시지부
3.0,고양시, 고양시장애인주간 보호센터 부설 단기보호시설,10.0,10.0,4.0,4.0, 경기도 고양시 일산서구 고양대로672번길 15-7,031-975-6721 031-977-6723,2012.03.01,우림복지재단 
4.0,성남시,한우리장애인단기 보호센터 ,15.0,9.0,10.0,8.0,경기도 성남시 중원구 순환로226번길 8 ,031-734-9942 031-734-9943,2001.11.01,사단법인 한국지체장애인협회 
5.0,화성시,다사랑장애인단기 거주시설 ,20.0,11.0,10.0,8.0,경기도 화성시 정남면 서봉로851번길 130 A동 ,031-354-0315 031-354-0227,2018.12.31,성지원 
6.0,부천시,라온제나단기보호 시설 ,10.0,7.0,9.0,9.0,경기도 부천시 소향로13번길 20 테마파크401호 ,032-710-7326 032-710-7327,2019.12.27,더플러스에이블사회 적협동조합 
7.0,남양주시,신망애단기보호 센터 ,10.0,6.0,8.0,4.0,경기도 남양주시 수동면 비룡로972번길 17 ,031-594-7755 031-594-7764,2004.07.07,신망애복지재단 
8.0,안산시,빛과둥지장애인 단기보호센터 ,13.0,10.0,12.0,9.0,경기도 안산시 상록구 옹주길 50-1 ,031-416-9990 031-416-9991,2008.09.05,강물 
9.0,안산시,맑은동산단기보호 센터 ,20.0,8.0,9.0,6.0,"경기도 안산시 상록구 중보로 55, 702호 ",031-417-5523 031-417-5528,2009.08.04,동산복지재단 
10.0,평택시,합정장애인단기 보호센터 ,20.0,9.0,14.0,14.0,경기도 평택시 조개터로2번길 41 신관 2층 ,031-618-7300 031-618-7070,2021.03.02,연꽃마을 
11.0,안양시,안양시수리장애인 단기보호센터 ,20.0,20.0,11.0,11.0,경기도 안양시 만안구 냉천로 39 ,031-465-0958 031-8056-9950,2003.11.05,돕는사람들 
12.0,시흥시,즐거운집장애인 단거거주시설 ,12.0,10.0,7.0,4.0,"경기도 시흥시 신흥마을4길 16-4, 2층(신천동) ",031-311-1036 031-8038-4650,2012.10.18,벽진원 
13.0,김포시,보리수마을 ,10.0,4.0,7.0,7.0,경기도 김포시 승가로89번길 삼성아파트 108동 101호(풍무동) ,031-998-3900 031-998-3930,2018.03.02,사회복지법인 룸비니 
14.0,파주시,사랑의빛 ,10.0,10.0,8.0,8.0,"경기도 파주시 창곡동길 48, 3층 302호 ",031-957-2605 031-945-2606,2010.04.27,사단법인 한국지적 발달장애인복지협회 
15.0,의정부시,의정부시단기보호 시설 곰두리네집 ,12.0,10.0,10.0,8.0,경기도 의정부시 진등로11번길 9 ,031-829-8293 031-829-8295,2004.04.23,의정부밀알복지재단 
16.0,광주시,광주시장애인단기 보호시설(북부권) ,10.0,7.0,5.0,5.0,경기도 광주시 탄벌동 사기막길95번길 59 ,031-768-9400 031-768-9402,2005.01.26,한국발달장애복지 센터 
17.0,광주시,광주시장애인단기 보호시설 ,10.0,10.0,7.0,6.0,경기도 광주시 곤지암읍 광여로 555-40 ,031-762-8532 031-762-8541,2012.01.02,사회복지법인 향림원 
18.0,하남시,느티나무마을 ,12.0,12.0,11.0,7.0,경기도 하남시 덕풍동로 53(덕풍동) ,031-796-0005 031-795-9182,2011.07.19,하남교회 법인 
19.0,군포시,가온누리단기보호 센터 ,15.0,15.0,10.0,10.0,"경기도 군포시 군포로 444, 4층(당동 서일빌딩) ",031-398-0125 031-398-0128,2011.07.19,사단법인 사랑의손길 
20.0,이천시,엘리엘동산 단기보호센터 ,10.0,9.0,7.0,7.0,경기도 이천시 마장면 이장로 256 ,031-8011-2114 031-8011-2346,2012.11.23,사회복지법인 엘리엘동산 
21.0,이천시, 이천시장애인단기 보호센터 효양동산,12.0,9.0,6.0,6.0,경기도 이천시 부발읍 죽당로 36 ,031-633-8875 031-633-8874,2012.11.01, 더플러스에이블 사회적협동조합
22.0,여주시,상생장애인단기보 호시설 ,10.0,9.0,10.0,9.0,경기도 여주시 세종대왕면 중부대로 2806-5 ,031-884-7887 031-885-7887,2021.07.30,사회복지법인 상생복지회 
23.0,동두천시,동두천시 장애인 단기보호센터 ,12.0,9.0,4.0,4.0,"경기도 동두천시 상패로 64(상패동, 동두천시장애인주간･단기보호센터) ",031-866-9600 031-696-6895,2004.10.11,샘솟는기쁨복지재단 
24.0,양평군,로뎀나무,10.0,7.0,10.0,7.0,"경기도 양평군 청운면 용두로164번길 14, 1층",031-775-0193,2018.12.21,사회복지법인 로뎀
25.0,양평군,캠프힐 도토리하우스,10.0,10.0,13.0,8.0,경기도 양평군 옥천면 원통이길 49-21,031-774-1346,2018.12.07,사회복지법인 캠프힐마을
26.0,수원시,수원시장애인종합 복지관부설 단기보호센터,15.0,10.0,7.0,6.0,경기도 수원시 영통구 창룡대로 255,031-548-5654~5 031-207-1504,2006.07.20,수원중앙복지재단
