일련번호,시군구,시설명,입소정원,입소현원,종사정원,종사현원,시설주소,전화번호,설치신고일,법인명
1.0,용인시,요한의집,36.0,32.0,35.0,34.0,경기도 용인시 처인구 포곡읍 백옥대로1832번길 58 ,031-339-4566 031-339-0609,1994.05.16,천주교인보회
2.0,용인시,양지바른,31.0,30.0,35.0,33.0,경기도 용인시 처인구 양주로 122 ,031-338-8855 031-338-8859,1989.07.21,사회복지법인 양지바른
3.0,용인시,한울장애인공동체,25.0,25.0,21.0,21.0,경기도 용인시 처인구 양지면 송주로273번길 13-13 ,031-334-0626 031-334-0627,2015.10.01,한울공동체
4.0,고양시,홀트일산요양원,155.0,113.0,85.0,91.0,경기도 고양시 일산서구 탄현로 42 ,031-914-6636 031-914-1222,1999.01.01,홀트아동복지회
5.0,성남시,소망재활원,70.0,69.0,58.0,54.0,경기도 성남시 중원구 산성대로476번길 12 ,031-741-3001 031-736-3010,1984.04.12,양친사회복지회
6.0,화성시,둘다섯해누리,80.0,80.0,66.0,63.0,경기도 화성시 서신면 밸미길 87-31 ,031-357-1945 031-357-1921,2008.09.08,천주교 수원교구
7.0,화성시,불이원,48.0,47.0,43.0,43.0,경기도 화성시 남양읍 현대기아로 648 ,031-357-6268 031-357-6163,2009.02.18,자제공덕회
8.0,화성시,화성아름마을,35.0,35.0,34.0,34.0,경기도 화성시 송산면 공룡로264번길 16 ,031-355-7522 031-355-7523,2003.08.06,세종복지회
9.0,화성시,브니엘복지원,13.0,10.0,4.0,3.0,경기도 화성시 팔탄면 온천로237번길 65 ,031-352-4539 031-352-8002,2005.12.29,개인
10.0,부천시,부천혜림요양원,40.0,32.0,33.0,33.0,경기도 부천시 경인로304번길 26 (심곡본동) ,032-666-7990 032-614-0111,1991.04.12,사회복지법인 백십자사
11.0,부천시,로뎀나무,29.0,11.0,5.0,5.0,경기도 부천시 성주로 132(송내동) ,032-652-5002 032-661-7667,2006.03.14,개인
12.0,남양주시,참누리,60.0,55.0,51.0,43.0,경기도 남양주시 수동면 비룡로972번길 17 ,031-594-6655 031-593-8977,1989.02.02,신망애복지재단
13.0,남양주시,호세아동산,30.0,30.0,33.0,32.0,경기도 남양주시 수동면 소래비로 470-19 ,031-591-6644 031-593-6617,2006.12.12,사랑과평화복지재단
14.0,안산시,어린양의집,40.0,36.0,33.0,33.0,"경기도 안산시 단원구 흘곶길 58, 대부남동 ",032-886-9192 032-881-1314,2008.02.29,강물
15.0,안산시,둥근세상,60.0,35.0,33.0,31.0,경기도 안산시 단원구 새방죽길 42-33 ,032-886-0531 032-882-1762,2008.01.30,한국미래복지재단
16.0,안산시,실비둥근세상,30.0,29.0,31.0,29.0,경기도 안산시 단원구 새방죽길 42-33 (대부북동) ,032-886-0533 032-886-0530,2010.01.30,한국미래복지재단
17.0,평택시,아나율의집,30.0,30.0,29.0,28.0,경기도 평택시 포승읍 절골길 43-1 ,031-683-1377 031-684-6577,2013.10.11,사회복지법인 연꽃마을
18.0,시흥시,비젼하우스,40.0,40.0,33.0,34.0,"경기도 시흥시 황고개로293번길 16, (군자동) ",031-488-9780 031-488-9783,2009.07.01,희망나누리
19.0,시흥시,평안의집,29.0,29.0,24.0,24.0,"경기도 시흥시 미산로127번길 10-8, (미산동) ",031-313-2852 031-313-0694,2011.04.20,베이트샬롬
20.0,김포시,가연마을,50.0,46.0,43.0,36.0,경기도 김포시 월곶면 용강로37번길 76-25 ,031-983-0108 031-983-9212,2008.02.15,사회복지법인 룸비니
21.0,김포시,소망의집,15.0,12.0,6.0,6.0,경기도 김포시 양촌읍 김포한강8로 100-91 ,031-985-8858 031-984-6697,2011.12.19,개인
22.0,파주시,금빛사랑의집,10.0,4.0,3.0,3.0,경기도 파주시 조리읍 기곡길 19 (금빛사랑의집),031-949-0636,2014.08.11,개인
23.0,파주시,아름다운누리,50.0,47.0,36.0,33.0,경기도 파주시 법원읍 술이홀로1333번길 63 ,031-959-7008 031-958-9114,1992.06.01,사회복지법인 주내자육원
24.0,파주시,조이빌리지,30.0,27.0,30.0,29.0,경기도 파주시 광탄면 심궁로 76-25 ,031-947-2720 031-947-2721,2019.05.20,사회복지법인 대건카리타스
25.0,파주시,큰나무,30.0,30.0,29.0,27.0,경기도 파주시 법원읍 술이홀로1333번길 63 ,031-959-7003 031-959-7102,2010.04.22,사회복지법인 주내자육원
26.0,의정부시,해밀,30.0,30.0,31.0,25.0,경기도 고양시 일산동구 견달산로225번길 21-83 ,031-965-0028 031-966-3200,2009.12.28,사회복지법인 대건카리타스
27.0,광주시,품안의집,70.0,52.0,43.0,32.0,경기도 광주시 곤지암읍 광여로 555-40 ,031-762-8585 031-764-8585,1993.12.27,사회복지법인향림원
28.0,군포시,양지의집,31.0,30.0,32.0,31.0,경기도 군포시 한세로70번길 14 (당정동) ,031-451-8799 031-451-0444,2003.10.27,사회복지법인 씨.피재활원
29.0,오산시,성심요양원,30.0,29.0,36.0,29.0,경기도 오산시 독산성로 140-22 ,031-370-7150 031-370-7157,2012.09.25,성심동원
30.0,양주시,요셉의집,40.0,34.0,36.0,35.0,경기도 양주시 백석읍 연곡로124번길 23-26 ,031-879-0847 031-879-0271,1998.01.21,한국장로교복지재단
31.0,양주시,행복한 복지원,30.0,30.0,32.0,28.0,경기도 양주시 백석읍 부흥로397번길 21 나동 ,031-826-3691 070-8277-5669,2016.02.23,사회복지법인 행복한세상복지재단
32.0,이천시,베데스다,40.0,39.0,37.0,36.0,경기도 이천시 모가면 군들로82번길 25-15 ,031-631-8311 031-631-8313,2001.07.31,사회복지법인 소망복지재단
33.0,이천시,승가원자비복지 타운 복지마을,50.0,38.0,38.0,34.0,경기도 이천시 설성면 설장로 374-57 ,031-641-1400 031-643-1404,2006.11.01,사회복지법인 승가원
34.0,이천시,양무리마을,35.0,27.0,28.0,26.0,경기도 이천시 대월면 대월로 292-32 ,031-632-6857 031-634-6857,2003.09.16,사회복지법인 양무리복지재단
35.0,이천시,엘리엘동산,60.0,51.0,47.0,46.0,경기도 이천시 마장면 이장로 256 ,031-631-6644 031-631-4691,1999.12.30,사회복지법인 엘리엘동산
