화장실명,소재지도로명주소,비상벨설치여부,개방시간상세,male,female,lat,lon
회룡역,"경기도 의정부시 평화로 363 (호원동, 회룡역)",N,00:00~00:00,1,1,37.724522,127.0472035
가능1동주민센터 1층,"경기도 의정부시 신촌로 35 (가능동, 가능1동주민센터)",N,09:00~18:00,1,1,37.7490136,127.0423192
가능1동주민센터 2층,"경기도 의정부시 신촌로 35 (가능동, 가능1동주민센터)",N,09:00~18:00,1,1,37.7490136,127.0423192
가능1동주민센터 3층,"경기도 의정부시 신촌로 35 (가능동, 가능1동주민센터)",N,09:00~18:00,1,1,37.7490136,127.0423192
경기도의정부교육지원청,"경기도 의정부시 가능로136번길 29 (의정부동, 의정부교육지원청)",N,09:00~18:00,3,3,37.745903,127.0468744
의정부시 주차관리과,"경기도 의정부시 의정로46번길 25 (의정부동, 의정부시청별관)",N,09:00~1800,0,1,37.7380608,127.033898
녹양동주민센터 1층,"경기도 의정부시 진등로 21 (녹양동, 녹양동주민센터)",N,09:00~18:00,0,1,37.7600606,127.0323092
의정부과학도서관 1층,"경기도 의정부시 추동로124번길 52 (신곡동, 의정부과학도서관)",Y,09:00~22:00,1,1,37.744874,127.0690533
의정부과학도서관 2층,"경기도 의정부시 추동로124번길 52 (신곡동, 의정부과학도서관)",Y,09:00~22:00,1,1,37.744874,127.0690533
의정부과학도서관 3층,"경기도 의정부시 추동로124번길 52 (신곡동, 의정부과학도서관)",Y,09:00~22:00,1,1,37.744874,127.0690533
의정부과학도서관 지하1층,"경기도 의정부시 추동로124번길 52 (신곡동, 의정부과학도서관)",Y,09:00~22:00,1,1,37.744874,127.0690533
의정부미술도서관 1층,"경기도 의정부시 민락로 248 (민락동, 의정부미술도서관)",Y,"(월요일~금요일)10:00~21:00, (토요일~일요일)10:00~18:00",1,1,37.7450621,127.1061726
의정부미술도서관 2층,"경기도 의정부시 민락로 248 (민락동, 의정부미술도서관)",Y,"(월요일~금요일)10:00~21:00, (토요일~일요일)10:00~18:00",1,1,37.7450621,127.1061726
의정부미술도서관 3층,"경기도 의정부시 민락로 248 (민락동, 의정부미술도서관)",Y,"(월요일~금요일)10:00~21:00, (토요일~일요일)10:00~18:00",1,1,37.7450621,127.1061726
의정부영어도서관1층,"경기도 의정부시 회룡로 79 (호원동, 의정부영어도서관)",Y,09:00~18:00,0,1,37.7265004,127.0426093
의정부영어도서관2층,"경기도 의정부시 회룡로 79 (호원동, 의정부영어도서관)",Y,09:00~18:00,0,1,37.7265004,127.0426093
의정부영어도서관3층,"경기도 의정부시 회룡로 79 (호원동, 의정부영어도서관)",Y,09:00~18:00,0,1,37.7265004,127.0426093
의정부정보도서관 1층,"경기도 의정부시 의정로 41 (의정부동, 의정부정보도서관겸의회청)",Y,07:00~00:00,1,1,37.7366126,127.0340397
의정부정보도서관 2층,"경기도 의정부시 의정로 41 (의정부동, 의정부정보도서관겸의회청)",Y,07:00~00:00,1,1,37.7366126,127.0340397
송산노인종합복지관,"경기도 의정부시 용민로 99 (민락동, 송산노인복지회관)",N,09:00~18:00,1,1,37.738448,127.088807
의정부시장애인종합복지관,경기도 의정부시 용민로 160 (민락동),N,09:00~19:00,3,5,37.74367489999999,127.0921815
의정부시 봉사회관 1층,"경기도 의정부시 신흥로 177-27 (의정부동, 의정부시봉사회관)",N,09:00~18:00,1,1,37.7323949,127.0420747
의정부1동주민센터 1층,"경기도 의정부시 가능로152번길 14 (의정부동, 의정부1동주민센터)",Y,09:00~18:00,1,1,37.7464113,127.047742
의정부2동주민센터 1층,"경기도 의정부시 신흥로 275 (의정부동, 의정부2동주민센터)",N,09:00~18:00,1,1,37.7407739,127.0427946
송산주유소,경기도 의정부시 충의로 94 (용현동),N,00:00~00:00,1,1,37.7402639,127.0865675
의정부주유소,경기도 의정부시 평화로 697 (가능동),N,00:00~00:00,1,1,37.7541003,127.0431548
호원2동 행정복지센터 1층,"경기도 의정부시 신흥로 115 (호원동, 호원2동행정복지센터)",N,09:00~18:00,0,1,37.7263497,127.043042
호원2동 행정복지센터 2층,"경기도 의정부시 신흥로 115 (호원동, 호원2동행정복지센터)",N,09:00~18:00,0,1,37.7263497,127.043042
의정부시청 문향재 1층,"경기도 의정부시 시민로 1 (의정부동, 의정부시청)",N,09:00~18:00,1,1,37.7380608,127.033898
의정부시청 별관 1층(우),"경기도 의정부시 시민로 1 (의정부동, 의정부시청)",N,09:00~18:00,1,1,37.7380608,127.033898
의정부시청 별관 2층(우),"경기도 의정부시 시민로 1 (의정부동, 의정부시청)",N,09:00~18:00,1,1,37.7380608,127.033898
의정부시청 별관 3층(우),"경기도 의정부시 시민로 1 (의정부동, 의정부시청)",N,09:00~18:00,1,1,37.7380608,127.033898
의정부시청 별관 4층(우),"경기도 의정부시 시민로 1 (의정부동, 의정부시청)",N,09:00~18:00,1,1,37.7380608,127.033898
의정부시청 본관 1.5층,"경기도 의정부시 시민로 1 (의정부동, 의정부시청)",N,09:00~18:00,1,1,37.7380608,127.033898
의정부시청 본관 1층(좌),"경기도 의정부시 시민로 1 (의정부동, 의정부시청)",N,09:00~18:00,0,1,37.7380608,127.033898
의정부시청 신관 1층,"경기도 의정부시 시민로 1 (의정부동, 의정부시청)",N,09:00~18:00,1,1,37.7380608,127.033898
의정부시청 신관 2층,"경기도 의정부시 시민로 1 (의정부동, 의정부시청)",N,09:00~18:00,1,1,37.7380608,127.033898
추동배드민턴장,"경기도 의정부시 능곡로26번길 28-40 (신곡동, 추동배드민턴장)",Y,00:00~00:00,1,1,37.7402854,127.0642923
백석천 제1지하주차장,경기도 의정부시 시민로 12 (의정부동),N,00:00~00:00,1,1,37.7376877,127.0359288
